DOPs,Año,País,Ventas
Toro,2017,Alemania,5657
Uclés,2017,Alemania,1744
Utiel-Requena,2017,Alemania,9702
Valdeorras,2017,Alemania,182
Valdepeñas,2017,Alemania,33797
Valencia,2017,Alemania,63087
Valle de Güímar,2017,Alemania,0
Valle de la Orotava,2017,Alemania,44
Valles de Benavente,2017,Alemania,213
Valtiendas,2017,Alemania,0
Vinos de Madrid,2017,Alemania,510
Ycoden-Daute-Isora,2017,Alemania,0
Yecla,2017,Alemania,8068
Abona,2016,Alemania,0
Alella,2016,Alemania,0
Alicante,2016,Alemania,6780
Almansa,2016,Alemania,3343
Arlanza,2016,Alemania,11
Arribes,2016,Alemania,0
Aylés,2016,Alemania,26
Bierzo,2016,Alemania,4641
Binissalem,2016,Alemania,945
Bullas,2016,Alemania,302
Calatayud,2016,Alemania,2727
Calzadilla,2016,Alemania,14
Campo de Borja,2016,Alemania,7364
Campo de la Guardia,2016,Alemania,25
Cangas,2016,Alemania,0
Cariñena,2016,Alemania,49357
Casa del Blanco,2016,Alemania,2
Cataluña,2016,Alemania,21544
Cava,2016,Alemania,237844
Chacolí de Álava,2016,Alemania,5
Chacolí de Bizkaia,2016,Alemania,23
Chacolí de Getaria,2016,Alemania,33
Cigales,2016,Alemania,1178
Conca de Barberá,2016,Alemania,115
Condado de Huelva,2016,Alemania,0
Costers del Segre,2016,Alemania,1231
Dehesa del Carrizal,2016,Alemania,18
Dominio de Valdepusa,2016,Alemania,456
El Hierro,2016,Alemania,0
El Terrerazo,2016,Alemania,40
Empordà,2016,Alemania,627
Finca Élez,2016,Alemania,0
Gran Canaria,2016,Alemania,0
Granada,2016,Alemania,0
Guijoso,2016,Alemania,2
Islas Canarias,2016,Alemania,8
Jerez-Xérès-Sherry,2016,Alemania,23653
Jumilla,2016,Alemania,10387
La Gomera,2016,Alemania,0
La Mancha,2016,Alemania,47961
La Palma,2016,Alemania,5
Lanzarote,2016,Alemania,73
Lebrija,2016,Alemania,0
Los Balagueses,2016,Alemania,7
Málaga,2016,Alemania,1125
Manchuela,2016,Alemania,468
Manzanilla S.B.,2016,Alemania,348
Méntrida,2016,Alemania,517
Mondéjar,2016,Alemania,0
Monterrei,2016,Alemania,544
Montilla-Moriles,2016,Alemania,467
Montsant,2016,Alemania,2793
Navarra,2016,Alemania,29028
Pago de Arínzano,2016,Alemania,5
Pago de Otazu,2016,Alemania,0
Pago Florentino,2016,Alemania,40
Penedés,2016,Alemania,6351
Pla de Bages,2016,Alemania,127
Pla i Llevant,2016,Alemania,1025
Prado de Irache,2016,Alemania,0
Priorat,2016,Alemania,1595
Rías Baixas,2016,Alemania,5309
Ribeira Sacra,2016,Alemania,76
Ribeiro,2016,Alemania,3852
Ribera del Duero,2016,Alemania,16064
Ribera del Guadiana,2016,Alemania,112
Ribera del Júcar,2016,Alemania,425
Rioja,2016,Alemania,175643
Rueda,2016,Alemania,17027
Sierra de Salamanca,2016,Alemania,23
Sierras de Málaga,2016,Alemania,0
Somontano,2016,Alemania,7622
Tacoronte-Acentejo,2016,Alemania,1
Tarragona,2016,Alemania,171
Terra Alta,2016,Alemania,1121
Tierra de León,2016,Alemania,3
Tierra del Vino de Zamora,2016,Alemania,25
Toro,2016,Alemania,3738
Uclés,2016,Alemania,1728
Utiel-Requena,2016,Alemania,14605
Valdeorras,2016,Alemania,178
Valdepeñas,2016,Alemania,37080
Valencia,2016,Alemania,67021
Valle de Güímar,2016,Alemania,0
Valle de la Orotava,2016,Alemania,49
Valles de Benavente,2016,Alemania,209
Valtiendas,2016,Alemania,0
Vinos de Madrid,2016,Alemania,647
Ycoden-Daute-Isora,2016,Alemania,8
Yecla,2016,Alemania,7670
Abona,2015,Alemania,0
Alella,2015,Alemania,0
Alicante,2015,Alemania,6801
Almansa,2015,Alemania,7873
Arlanza,2015,Alemania,19
Arribes,2015,Alemania,0
Aylés,2015,Alemania,41
Bierzo,2015,Alemania,3471
Binissalem,2015,Alemania,1716
Bullas,2015,Alemania,318
Calatayud,2015,Alemania,2508
Calzadilla,2015,Alemania,0
Campo de Borja,2015,Alemania,5011
Campo de la Guardia,2015,Alemania,10
Cangas,2015,Alemania,0
Cariñena,2015,Alemania,42878
Casa del Blanco,2015,Alemania,4
Cataluña,2015,Alemania,25680
Cava,2015,Alemania,220773
Chacolí de Álava,2015,Alemania,68
Chacolí de Bizkaia,2015,Alemania,9
Chacolí de Getaria,2015,Alemania,12
Cigales,2015,Alemania,693
Conca de Barberá,2015,Alemania,75
Condado de Huelva,2015,Alemania,0
Costers del Segre,2015,Alemania,601
