DOPs;Año;Alemania;Austria;Bélgica;Bulgaria;Chipre;Croacia;Dinamarca;Eslovaquia;Eslovenia;Estonia;Finlandia;Francia;Grecia;Holanda;Hungria;Irlanda;Italia;Letonia;Lituania;Luxemburgo;Malta;Polonia;Portugal;Repùblica Checa;Rumania;Suecia;Noruega;Suiza;Reino Unido;Rusia;Resto Europa no E.U.;Argentina;Brasil;Canadá;Colombia;EE.UU.;México;Venezuela;Resto América;Corea;China;India;Japón;Resto Asia;Australia;Resto Oceanía;Resto países;Blanco;Rosado;Tinto;De licor;Espumoso;Deaguja;Otros;€/hl
Pla de Bages;2023;48;0;11;0;0;0;26;0;0;9;0;0;0;38;0;0;0;0;0;0;0;6;0;7;0;0;6;15;1;345;15;0;9;0;32;4;75;0;22;59;0;0;9;15;0;0;0;221;57;474;0;0;0;0;691,5292553
Pla i Llevant;2023;457;0;6;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;4;0;7;0;124;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;203;161;259;0;0;0;0;1198,025682
Prado de Irache;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Priorat;2023;1215;108;675;3;6;0;461;1;0;22;21;287;8;471;6;59;44;112;11;50;1;94;14;17;0;516;174;2087;347;537;157;0;25;322;5;2391;192;4;167;83;222;0;113;363;73;1;13;625;45;10804;1;0;0;3;1495,685311
Rías Baixas;2023;1646;245;1995;33;15;9;1060;5;1;102;520;566;30;2302;67;4981;226;153;69;61;32;472;76;100;22;2641;1076;1393;15630;1749;1037;3;97;1943;592;25632;2560;205;8789;244;393;0;881;1147;595;104;27;81526;0;0;0;0;0;0;732
Ribeira Sacra;2023;48;4;53;0;21;0;118;0;0;0;1;58;0;17;1;45;5;0;63;1;0;5;68;3;0;233;120;87;170;4;48;54;2;113;8;685;13;0;22;18;34;0;0;59;25;2;53;318;14;1929;0;0;0;0;1200
Ribeiro;2023;2250;0;823;2;0;0;84;0;0;6;0;52;0;88;0;18;4;2;0;0;0;22;0;4;8;0;10;88;233;0;32;0;8;52;4;340;60;0;18;0;42;0;241;6;24;0;0;4274;0;247;0;0;0;0;721,8792303
Ribera del Duero;2023;10680;625;4165;35;39;16;6751;54;26;149;748;2972;32;4540;28;2392;327;182;348;228;63;1053;152;382;82;5080;1049;23310;6154;3082;664;11;917;5330;2039;18999;19616;264;8598;1093;6194;11;1110;1562;413;41;1218;0;0;142824;0;0;0;0;1221,908916
Ribera del Guadiana;2023;429;0;52;0;0;7;0;0;0;0;0;0;195;0;19;0;614;1083;0;0;9;0;4;23;0;0;0;243;0;0;27;0;24;1;0;28;22;0;2;370;246;0;0;5;0;0;0;782;0;2621;0;0;0;0;204,2286218
Ribera del Júcar;2023;136;3;11;0;0;0;18;0;0;0;0;0;0;0;0;0;0;95;42;0;0;0;0;0;0;0;3;1;95;0;82;0;0;86;0;103;15;0;0;0;110;24;0;0;0;0;0;46;3;775;0;0;0;0;536,6504854
Rioja;2023;132450;5011;37195;280;2878;477;13224;751;240;1260;4994;13651;255;42002;152;38331;1411;5080;8328;1342;250;10778;644;2945;223;27058;14162;39649;303700;31055;10366;37;7444;38654;3442;97038;26789;811;19532;3162;15968;977;4203;11411;4826;775;3326;94855;56233;837449;0;0;0;0;511,1326263
Rueda;2023;14232;198;5471;41;31;16;905;16;11;162;380;1478;13;43436;42;1139;215;128;602;99;59;1069;153;101;43;943;559;7658;6233;6564;831;0;189;1901;1527;6540;1733;55;2520;146;283;12;1190;895;75;12;258;109852;174;126;11;1;0;0;533,3299989
Sierra de Salamanca;2023;15;0;1;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;0;4;0;0;1;5;0;0;0;0;0;10;0;0;4;0;0;0;9;5;0;0;0;17;2;40;0;0;0;0;1133
Sierras de Málaga;2023;3482;7;29;0;0;0;35;0;0;7;16;1;0;15;0;6;4;0;0;20;0;8;3;13;0;13;14;34;37;0;14;0;0;14;0;109;0;0;6;5;77;0;0;4;0;0;0;156;36;3781;0;0;0;0;1186,936824
